;data;nome;descricao;localidade;post
0;2022-08-02 23:43:53;Luisa Diele-Viegas 🦎 ⭐️;PhD in Ecology and Evolution. Scientist. Herpetologist. Feminist. Activist. Vegan. Anti-racism. Anti-fascist. LGBTQIA+. Crossfiter. she/her ♀️🦎🌎💪✊🏳️‍🌈;;"Eu: 2,5 anos de pandemia sem pegar COVID e mantendo a ⭐️ da OMS intacta (até onde eu sei) ✅
4/4 doses da #vacina 💉✅… https://t.co/peCf7LzCsa"
1;2022-08-02 22:01:49;Sobre Tudo;Notícias sobre tudo do Brasil e do mundo, fiquem ligados!!;;🚨 Mais de 15 mil doses da vacina contra a COVID-19 perderão a validade hoje na cidade do Rio de janeiro, prefeitura… https://t.co/8mwqOJu6Iq
2;2022-08-02 21:50:20;Grupo do bem estar;Pessoas que se encontram para colocar a ARTE, A CIÊNCIA HUMANISTA, o PROTAGONISMO CIDADÃO e a ESPIRITUALIDADE a serviço do BEM ESTAR e da FELICIDADE.;São Paulo, BRASIL;#Brasil tem mais de 1.500 casos confirmados de #VaríoladosMacacos ou #MonkeyPox.A Maioria em SP. Grupo mais afetado… https://t.co/PQWHDuJ1RX
3;2022-08-02 21:02:56;Jornal de Alagoas;Melhor site de notícias de Alagoas. Sempre atualizado, com as últimas sobre política, economia e sociedade.;Alagoas, Brasil;"Maceió começa a vacinar crianças de 4 anos contra a Covid-19

https://t.co/OdDxNqNCnA

#maceió #vacina #crianças… https://t.co/4vS0dxTF3Y"
4;2022-08-02 19:27:14;Rafael Rossi;Jornalista Esportivo (Sports Journalist), Apresentador/Narrador/Repórter, papai da Juju (Juju's Daddy)!;Cedral (SP-Brasil);#Mirassol #regiao #Noticias #COVID  #Covid19 #COVID19pt #COVID19br  #PortalDaCidade #jornalismo #vacina #vacinação… https://t.co/i6jYxuMRgH
5;2022-08-02 19:18:39;raffys;Sou um rapaz que gosta de tudo o que é novo. Amo artes e fazer novos amigos.;;"Segunda dose de reforço check 

#Vacina"
6;2022-08-02 19:03:26;ELEICAO/22-Valeska🇧 🇴 🇱 🇸 🇴 🇳 🇦 🇷 🇴 22;"BOLSONARISTA SIM, COM ORGULHO!
EU NÃO VOTO EM LULADRÃO! GENTE HONESTA NÃO VOTA EM LULADRÃO!💚🇧🇷 Em 2022, é BOLSONARO 2️⃣2️⃣
(criação 28/03/22)";Espírito Santo, Brasil;"@RICNoticias24h @CNNBrasil e @JovemPanNews mostraram hj aNOTÍCIA d fato q já ocorreu 1 mês e 2 meses atrás...👇
Que… https://t.co/y04dN8NsSZ"
7;2022-08-02 18:40:53;Yuri Bacuri;Quando eu crescer quero ser criança.;Belém, PA;"Um bacuri imunizado pela 4a vez não quer guerra com ninguem. É aquele papo: se não postar não faz efeito. 😬✅ 
.
.
.… https://t.co/DvvPd5AOcC"
8;2022-08-02 17:55:09;Diário de S. Paulo;Conta oficial do jornal Diário de S.Paulo. Acompanhe as principais notícias também pelo nosso Instagram: https://t.co/YetUglV72q;São Paulo;"#AsMaisLidas Entenda o caso #vacina 
https://t.co/KXwcZAZyK8"
9;2022-08-02 17:47:16;UniCiência;Olá, UniCientistas! O canal é apresentado pelo Dr. Gustavo Moreira, pesquisador e cientista formado em Biotecnologia. Fique bem informado e divirta-se!;Brasil;Um compilado de informações sobre as subvariantes da Ômicron e como podemos ficar protegidos contra esses novos Cor… https://t.co/l4rJZi8sr3
10;2022-08-02 17:45:01;Revista VivaSaúde;A VivaSaúde é o seu maior guia de saúde do Brasil e traz dicas sobre nutrição, informações sobre doenças e muito mais!;;Nova vacina para herpes-zóster, doença que atingiu Justin Bieber e Fernanda Keulla, ainda só está disponibilizada n… https://t.co/Zw8lUIuJoV
11;2022-08-02 17:13:08;SINSSP Oficial;Sindicato dos Trabalhadores do Seguro Social e Previdência Social no Estado de São Paulo.;São Paulo;A OMS declarou a varíola dos macacos como emergência de saúde pública de interesse internacional. No Brasil, são 97… https://t.co/muDy3mXK3Z
12;2022-08-02 16:10:29;Dalva;Brasileira / Brasileña / Brazilian - Compartilhando minha opinião e dicas do que assistir nos streamings: documentários, filmes e séries.;Brasil;Enquanto várias cidades do #ValeDoParaíba, #LitoralNorte, #SerraDaMantiqueira e #RegiãoBragantina já liberaram a ap… https://t.co/LTcXYFwv7x
13;2022-08-02 15:00:13;John John;;Paulista -PE;"Vamos falar de beleza mesmo é??? 
Bom dia vacinado! 
#4dose #vacina #COVID19 https://t.co/T65O3qr5No"
14;2022-08-02 14:57:01;𝓐𝓷𝓪 𝓒𝓪𝓻𝓸𝓵𝓲𝓷𝓪❦;𝓥𝓲𝓿𝓮𝓻 𝓸 𝓹𝓻𝓸𝓬𝓮𝓼𝓼𝓸 𝓭𝓮 𝓶𝓾𝓭𝓪𝓷ç𝓪 𝓭ó𝓲, 𝓶𝓪𝓼 𝓻𝓮𝓷𝓸𝓿𝓪! ᯽༄;;"Gente, não sabia que o braço doía tanto na terceira dose do COVID! 
Nossa meu Deus 🙀
#COVID19 #vacina #"
15;2022-08-02 13:28:46;TV Diversa;"📺 A TV Aberta feita pra você!
🐦Twitter oficial da TV Diversa.";Juiz de Fora - MG;A chegada ao Brasil das primeiras doses da vacina contra a varíola dos macacos (monkeypox) deve acontecer em setemb… https://t.co/7lmeV8KIfH
16;2022-08-02 13:15:00;Metrópoles;📱 O seu portal de notícias. Tudo sobre política, saúde, justiça, comportamento, entretenimento. Confira os fatos relevantes do país e do mundo em tempo real.;Brasília, Brasil;"#Herpes-zóster: conheça benefícios da nova #vacina, com eficácia de 97%

Imunizante é capaz de diminuir considerave… https://t.co/ebFPG3M0z6"
17;2022-08-02 12:28:02;Rodrigo Souza;Vencer, vencer, vencer! Uma vez Flamengo, Flamengo até morrer!;;Absurdo! Vacinas tendo que ser descartadas por falta de procura. É dinheiro público sendo jogado no lixo!… https://t.co/op0YFEu5Zh
18;2022-08-02 12:03:06;PNotícias;O líder de notícias no rádio agora com você em todo lugar!;;"Covid-19: Salvador libera 4ª dose para pessoas entre 30 e 34 anos - https://t.co/Eo2HAVASCu 
#PNotícias #News… https://t.co/A5850ZcFfO"
19;2022-08-02 11:31:03;PORTAL VIVA COTIA;O maior site de notícias de Cotia e região, com atualizações dinâmicas durante todo o dia! Portal Viva: a notícia num clic! http://t.co/XjqgH7J0DY;Cotia;Carapicuíba inicia aplicação da 4ª dose da vacina contra Covid-19 para pessoas com 25 anos ou mais. Leia mais em… https://t.co/BimUbtvQtT
